"content","cmp_code","eu_code"
"CONCEPT – VERKIEZINGSPROGRAMMA PVV 2017 - 2021","H",NA
"NEDERLAND WEER VAN ONS!","H",NA
"Miljoenen Nederlanders hebben schoon genoeg van de islamisering van ons land.","601.2",NA
"Genoeg van de massa-immigratie en asiel, terreur, geweld en onveiligheid.","601.2",NA
"Hier is ons plan: in plaats van het financieren van de hele wereld en mensen die we hier niet willen, geven we het geld uit aan de gewone Nederlander.","601.2",NA
"Zo gaat de PVV dat doen: Nederland de-islamiseren","601.2",NA
"Nul asielzoekers erbij en geen immigranten meer uit islamitische landen:","601.2",NA
"grenzen dicht","601.2",NA
"Intrekken alle al verleende verblijfsvergunningen asiel voor bepaalde tijd, AZC’s dicht","601.2",NA
"Islamitische hoofddoekjes niet in publieke functies","608.2",NA
"Verbod op overige islamitische uitingen die in strijd zijn met de openbare orde","608.2",NA
"Preventief opsluiten radicale moslims","608.2",NA
"Criminelen met een dubbele nationaliteit denaturaliseren en uitzetten","605.1",NA
"Syriëgangers niet meer terug laten keren naar Nederland","104",NA
"Alle moskeeën en islamitische scholen dicht, verbod koran","204",NA
"Nederland weer onafhankelijk.","110",NA
"Dus uit de EU","110",NA
"Directe democratie:","202.4",NA
"invoeren van het bindend referendum, burgers krijgen macht","202.4",NA
"Eigen risico zorg geheel afschaffen","504",NA
"Huren omlaag","412",NA
"AOW-leeftijd op 65 jaar, aanvullende pensioenen wél indexeren","504",NA
"Geen geld meer naar ontwikkelingshulp, windmolens, kunst, innovatie, omroep enz.","414",NA
"Terugdraaien bezuinigingen thuiszorg, ouderenzorg, méér handen aan het bed","504",NA
"Fors extra geld voor defensie en politie","605.1",NA
"Lagere inkomstenbelasting","401",NA
"Halvering motorrijtuigenbelasting","403",NA
